name,Q,n_points,v_chi2,v_chi2_dof,v_bic,v_A,v_rc,v_ups,n_chi2,n_chi2_dof,n_bic,n_A,n_rc,n_ups,delta_bic
UGC04325,1,8,8.1490,1.6298,14.39,74.1600,0.5500,1.4000,10.0344,2.0069,16.27,122.3640,2.9282,2.0000,5904.10
UGC04483,2,8,2.5592,0.5118,8.80,29.1600,0.5000,0.8800,5.4649,1.0930,11.70,46.9625,1.9487,0.7748,5904.10
UGC04499,1,9,8.8991,1.4832,15.49,89.1600,3.3000,0.8800,39.0515,6.5086,45.64,107.8836,10.6480,1.6200,5904.10
UGC05005,1,11,0.5055,0.0632,7.70,120.0000,8.8000,0.8800,4.1347,0.5168,11.33,193.2612,25.1074,0.1283,5904.10
UGC05253,2,73,143.0102,2.0430,155.88,198.4000,2.3958,0.4500,181.2543,2.5893,194.13,396.1056,10.5415,0.4000,5904.10
UGC05414,1,6,1.5303,0.5101,6.91,81.0480,3.3000,1.0000,21.4141,7.1380,26.79,89.1528,12.8841,1.4000,5904.10
UGC05716,2,12,11.8490,1.3166,19.30,80.6760,2.7000,1.6940,73.8808,8.2090,81.34,131.2419,7.9720,1.5878,5904.10
UGC05721,1,23,47.2372,2.3619,56.64,99.1200,1.6200,1.6200,23.0072,1.1504,32.41,159.6338,2.8412,0.6974,5904.10
UGC05750,1,11,1.7111,0.2139,8.90,94.6800,5.0000,0.5500,6.7532,0.8441,13.95,99.6324,53.8200,2.4200,5904.10
UGC05764,2,10,56.1240,8.0177,63.03,66.9600,0.9000,2.2000,46.1942,6.5992,53.10,98.0361,2.8531,5.0843,5904.10
UGC05829,2,11,2.7256,0.3407,9.92,54.8800,2.0000,2.2000,6.7901,0.8488,13.98,90.5520,10.7179,2.6354,5904.10
UGC05918,2,8,0.3414,0.0683,6.58,35.6000,0.8053,2.3958,0.8524,0.1705,7.09,64.6140,4.2872,2.6620,5904.10
UGC05986,2,15,23.6396,1.9700,31.76,139.2000,2.7000,0.7920,148.9287,12.4107,157.05,203.8027,10.7179,1.1227,5904.10
UGC05999,2,5,3.6361,1.8181,8.46,120.0000,5.0000,0.3000,11.6080,5.8040,16.44,193.2612,18.6749,0.4075,5904.10
UGC06399,1,9,1.4179,0.2363,8.01,105.1200,3.0000,0.9000,12.1132,2.0189,18.70,115.6320,10.6480,2.0000,5904.10
UGC06446,1,17,4.2638,0.3046,12.76,74.7120,1.2100,1.8000,12.4965,0.8926,21.00,135.6023,6.4308,2.1780,5904.10
UGC06614,1,13,13.2053,1.3205,20.90,180.4000,5.5000,0.3500,17.0147,1.7015,24.71,360.1686,18.8636,0.2000,5904.10
UGC06628,2,7,1.2503,0.3126,7.09,37.2240,0.3000,0.0000,1.1461,0.2865,6.98,50.7600,1.0000,0.4000,5904.10
UGC06667,1,9,2.5913,0.4319,9.18,102.8400,2.0000,0.4500,7.2584,1.2097,13.85,136.8800,9.4153,6.9045,5904.10
UGC06786,1,45,145.7204,3.4695,157.14,247.3200,7.2000,0.8000,100.9480,2.4035,112.37,402.3347,11.7128,0.5249,5904.10
UGC06787,2,71,373.5278,5.4931,386.32,220.8000,2.0000,0.4000,269.1980,3.9588,281.99,484.9099,14.1725,0.3500,5904.10
UGC06818,2,8,8.4754,1.6951,14.71,98.2080,3.6300,0.2500,17.7750,3.5550,24.01,173.9815,16.9772,0.0000,5904.10
